Sample    Real    Imaginary   Mod
588 24.9014 46.0254 52.3299
589 34.5662 46.2059 57.7045
590 43.9354 43.8997 62.1088
591 52.3681 39.2692 65.456
592 59.2886 32.6398 67.6794
593 64.2273 24.4774 68.7335
594 66.8535 15.3554 68.5943
595 66.9997 5.91353 67.2602
596 64.6727 -3.18669 64.7512
597 60.0536 -11.3093 61.1092
598 53.4847 -17.8891 56.3971
599 45.4451 -22.4712 50.6973
600 36.5168 -24.7441 44.1106
601 27.3429 -24.5611 36.7544
602 18.5823 -21.951 28.7602
603 10.8621 -17.1161 20.2718
604 4.7331 -10.4174 11.4422
605 0.630558 -2.34879 2.43196
606 -1.15718 6.49794 6.60018
607 -0.509295 15.4759 15.4842
608 2.51869 23.9291 24.0613
609 7.6988 31.2399 32.1746
610 14.6467 36.8734 39.6758
611 22.8492 40.4155 46.4274
612 31.7008 41.6039 52.3051
613 40.5471 40.3465 57.2006
614 48.732 36.7288 61.023
615 55.6445 31.0086 63.7012
616 60.7635 23.5976 65.1847
617 63.6951 15.0324 65.4449
618 64.2019 5.93667 64.4758
619 62.2205 -3.02345 62.2939
620 57.8673 -11.1873 58.9388
621 51.4309 -17.9469 54.4722
622 43.352 -22.7913 48.978
623 34.1933 -25.3435 42.5615
624 24.5993 -25.3888 35.3513
625 15.2506 -22.8906 27.5057
626 6.81562 -17.9948 19.2423
627 -0.0975189 -11.0202 11.0207
628 -4.98504 -2.43707 5.54886
629 -7.48421 7.16556 10.3614
630 -7.40037 17.121 18.6519
631 -4.72211 26.7319 27.1457
632 0.376439 35.32 35.322
633 7.54657 42.2746 42.9429
634 16.2883 47.0965 49.8337
635 25.9849 49.4348 55.8481
636 35.9453 49.1127 60.8615
637 45.4529 46.1424 64.7694
638 53.8159 40.7251 67.4884
639 60.4168 33.2395 68.9569
640 64.7566 24.2161 69.1364
641 66.4911 14.3018 68.0119
642 65.4571 4.21526 65.5927
643 61.6855 -5.30272 61.913
644 55.4011 -13.5407 57.0319
645 47.0095 -19.8668 51.0351
646 37.0701 -23.7733 44.0382
647 26.2596 -24.9132 36.1972
648 15.3261 -23.1259 27.7434
649 5.03817 -18.4502 19.1257
650 -3.86699 -11.1233 11.7763
651 -10.7347 -1.56642 10.8484
652 -15.0378 9.64197 17.8634
653 -16.413 21.8045 27.2915
654 -14.6869 34.1511 37.1753
655 -9.888 45.8899 46.9431
656 -2.24622 56.2605 56.3053
657 7.82236 64.5846 65.0566
658 19.7428 70.3109 73.0301
659 32.8193 73.0516 80.0852
660 46.2818 72.6078 86.104
661 59.3369 68.9814 90.9907
662 71.2203 62.3738 94.6722
663 81.2468 53.171 97.0989
664 88.8548 41.9156 98.2451
665 93.6416 29.2697 98.1095
666 95.3875 15.9682 96.7148
667 94.0671 2.7692 94.1078
668 89.847 -9.59746 90.3581
669 83.0701 -20.4787 85.5571
670 74.2276 -29.3404 79.8161
671 63.9217 -35.8014 73.2647
672 52.8198 -39.6545 66.0485
673 41.6057 -40.8766 58.3261
674 30.9304 -39.6236 50.2665
675 21.3653 -36.2135 42.0463
676 13.3628 -31.097 33.8465
677 7.2262 -24.8192 25.8497
678 3.09042 -17.9742 18.2379
679 0.917011 -11.1568 11.1945
680 0.501576 -4.91446 4.93999
681 1.49444 0.297182 1.5237
682 3.43252 4.15075 5.38618
683 5.78017 6.47413 8.67899
684 7.97597 7.26506 10.7887
685 9.48193 6.69239 11.6058
686 9.83152 5.08381 11.0681
687 8.67282 2.90065 9.14503
688 5.80344 0.701659 5.8457
689 1.19457 -0.901874 1.49678
690 -4.99793 -1.29635 5.16331
691 -12.4364 0.0821483 12.4367
692 -20.6184 3.6979 20.9474
693 -28.9068 9.87137 30.5458
694 -36.5713 18.7442 41.095
695 -42.838 30.2558 52.4453
696 -46.9451 44.1344 64.4336
697 -48.1985 59.9022 76.8854
698 -46.0262 76.8957 89.6178
699 -40.0254 94.2999 102.443
700 -30 111.194 115.17
701 -15.9855 126.605 127.611
702 1.74084 139.571 139.582
703 22.6656 149.195 150.907
704 46.0602 154.713 161.424
705 71.016 155.537 170.983
706 96.4925 151.301 179.452
707 121.374 141.889 186.719
708 144.532 127.446 192.697
709 164.89 108.377 197.318
710 181.485 85.3285 200.544
711 193.522 59.1512 202.36
712 200.418 30.8576 202.78
713 201.838 1.56357 201.844
714 197.706 -27.5735 199.62
715 188.209 -55.4186 196.199
716 173.781 -80.9213 191.698
717 155.07 -103.171 186.255
718 132.901 -121.442 180.03
719 108.216 -135.229 173.199
720 82.0209 -144.262 165.949
721 55.3212 -148.511 158.48
722 29.0659 -148.17 150.994
723 4.09403 -143.636 143.694
724 -18.9078 -135.462 136.775
725 -39.4356 -124.312 130.417
726 -57.1837 -110.908 124.782
727 -72.0462 -95.973 120.006
728 -84.1022 -80.1765 116.196
729 -93.5888 -64.0914 113.431
730 -100.862 -48.1558 111.768
731 -106.35 -32.6494 111.248
732 -110.501 -17.6836 111.907
733 -113.733 -3.20687 113.778
734 -116.386 10.976 116.902
735 -118.679 25.1715 121.319
736 -120.684 39.7547 127.063
737 -122.306 55.1195 134.153
738 -123.284 71.6261 142.581
739 -123.203 89.5485 152.308
740 -121.52 109.028 163.261
741 -117.611 130.034 175.331
742 -110.813 152.34 188.38
743 -100.489 175.51 202.242
744 -86.0799 198.905 216.732
745 -67.1696 221.7 231.652
746 -43.5303 242.925 246.794
747 -15.1668 261.506 261.946
748 17.6563 276.334 276.898
749 54.4027 286.324 291.447
750 94.2691 290.485 305.398
751 136.207 287.987 318.573
752 178.964 278.221 330.809
753 221.134 260.845 341.965
